name,Section,link
ACC112,10,https://chat.whatsapp.com/Csjz3kICqOHHq4sXiA1Pvh
ACC112,Sec9,https://chat.whatsapp.com/CxpzNCgxI14K1NEB7RfUaE
ARAB110,ALL SECTION,https://chat.whatsapp.com/EbcmWOGroVBHc4Pnd20zqF
ARAB110,1,https://chat.whatsapp.com/B6nXqOBXAhh7LzQVJTK3Hm)
CE481/NE492,1,https://chat.whatsapp.com/DOqPOY1IIFV6UHeJMnZjQW
CHEMY101,ALL SECTION,https://chat.whatsapp.com/GaVnqiHEZnNFGAAOk4dHtJ
CHEMY101,ALL SECTION,https://chat.whatsapp.com/GaVnqiHEZnNFGAAOk4dHtJ
CHEMY101,6-Jan,https://chat.whatsapp.com/KmOHvyy5sXBKfYZFCp5kye
CHEMY101,12-Jul,https://chat.whatsapp.com/BSBFmkysfWA93IMnnJ43ux
CHEMY101,13-18,https://chat.whatsapp.com/GEhPUA9F0NPA1dhZqQT2
CHEMY101,19-24,https://chat.whatsapp.com/LmfenskIIPR0YbEWQamtYW
CHEMY101,25-30,https://chat.whatsapp.com/Ex8gAG96pQ93mN7LxlF00U
CHEMY101,31-36,https://chat.whatsapp.com/IIwrYWwN2SGDPBRe5GpWAR
CHEMY101,37-42,https://chat.whatsapp.com/K2kFecar8P8J5M4HdaRuca
CHEMY101,43-48,https://chat.whatsapp.com/CiDLmN6fqSk4wcaj5UZtZ9
CHEMY101,55-56,https://chat.whatsapp.com/FKftjfTtlAC8WCkJF0P01V
CHL101,5,https://chat.whatsapp.com/DbixcrGgutW0K0TfVvzEu8
CSC103,ALL SECTION,
CSC103,1,https://chat.whatsapp.com/GnySb3zPk9I7l2bUEun3s9
CSC103,2,
CSC103,3,https://chat.whatsapp.com/F17e6NxGBEm2zk6ShqXKWm
CSC103,4,"https://chat.whatsapp.com/J3Fz5nYJueUFhtq5vgdFI0
"
CSC103,5,https://chat.whatsapp.com/BvykP0T4psHHI4YpJKZrzZ
CSC103,6,https://chat.whatsapp.com/FImGzU0atks7KP2XBNZQdo
CSC103,7,https://chat.whatsapp.com/JF43JtCmweD0tcUa84GvMS
CSC103,9,https://chat.whatsapp.com/IxxirPTWQlaEaWjnj0Co2a
CSC103,10,"
https://chat.whatsapp.com/KKR27YIHEAg8BBCjFgqI1O
"
CSC103,11,https://chat.whatsapp.com/EVfonm5YvzZ3lWjR2srjyD
CSC103,12,"
https://chat.whatsapp.com/FgMuLDmKI172uJ7Ak8WLbg
"
CSC103,13,https://chat.whatsapp.com/FTIRRIZjXFbGn6nP09d7DF
CSC103,14,https://chat.whatsapp.com/BxkurjLbrhM0gCFL40zys6
CSC103,15,"
https://chat.whatsapp.com/FXjWOHP5osq7Sx4J04UngI"
Eng001,35,https://chat.whatsapp.com/Gf56pFq1f2d7YniIdlSyPH
ENG154,13,https://chat.whatsapp.com/H8gHdVnCTZ4GdgsQIuZiaF
ENG219,2,https://chat.whatsapp.com/Hi9D8bBCIBq6FtvNP6mXYJ
ENGL 154,7,https://chat.whatsapp.com/EBJhokd0c13CVzWtbT6GsM
ENGL101,2,https://chat.whatsapp.com/J3BCeukPbXvC6svowZ7z0f
ENGL125,1,https://chat.whatsapp.com/Lq44BdBI4V09iSV010VgXH
ENGL125,2,https://chat.whatsapp.com/BkBjFnU6DdK65wOAmrUz1W
ENGL125,3,https://chat.whatsapp.com/LWMg3NUTGKg3hn2tkAvolY
ENGL125,4,https://chat.whatsapp.com/Ke7K7Erq2zGLLqX4eRmiZK
ENGL125,5,https://chat.whatsapp.com/LIxelBs6r1zMEH2FGsHy
ENGL125,6,https://chat.whatsapp.com/C6SGqjvMrHl1KC69p2ySu7
ENGL125,7,https://chat.whatsapp.com/IQ5RmHu93fkFtYNWqnKod9
ENGL125,8,https://chat.whatsapp.com/LW26cwUAQBGK2ggy8K62Pt
ENGL154,8,https://chat.whatsapp.com/HysnjpYaPDJ0zB9CHHIBPQ
ENGL154,4,https://chat.whatsapp.com/FBArsKPwG9c5kfEhPtc7
ENGL154,11,https://chat.whatsapp.com/DC5ZJKgaXGqAbNiymJ1XhB 
ENGL154,8,https://chat.whatsapp.com/JMX6IH3oo7KDGbqIpIUXgW
ENGL154,10,
ENGL154,6,https://chat.whatsapp.com/JDaavsSE7AO8SqXPAsjzNj
ENGL154,2,https://chat.whatsapp.com/L896bbBaws10A1s13ijX7m
ENGL154,9,https://chat.whatsapp.com/DYQOUFu25TGJge7mVYp6DR
ENGL154,8,https://chat.whatsapp.com/JMX6IH3oo7KDGbqIpIUXgW
ENGL154,1,https://chat.whatsapp.com/EjNFidu1nsi0hL4TJcap3I
ENGL154,12,https://chat.whatsapp.com/HZ45EWGiFA2Ict4F0HUC
ENGL154,3,https://chat.whatsapp.com/DZQbksY1E2FLsmMpcEAdbu
ENGL154,ALL SECTION,https://chat.whatsapp.com/BIOIU6FePRb6usy4k15sc
ENGL154,14,https://chat.whatsapp.com/B5jAfDJp9GMpcRxZorkI 6
ENGL154,3,https://chat.whatsapp.com/J8Lb1S2wKJ1IntW83lwmSK 
ENGL154,17,https://chat.whatsapp.com/B8oRAJIRbUnKSMcJsvp5Qa
ENGL154,18,https://chat.whatsapp.com/JOAmULw32kiCGiyX5YdD8S
ENGL155,3,https://chat.whatsapp.com/H2x7Cz20gNJ3WCwGRDuiA1
ENGL155,1,https://chat.whatsapp.com/GO3mJYZWW4bIpYxiH9kQhT
ENGL155,4,https://chat.whatsapp.com/JMX6IH3oo7KDGbqIpIUXgW
ENGL155,2,https://chat.whatsapp.com/ENL7tcLmo0c5Th8Hjqt9o5
ENGL155,2,https://chat.whatsapp.com/DUjTRnfNsUWLt8dLRMafL4
ENGL219,1,https://chat.whatsapp.com/JMQHpSq8VMbCsF6cSweZeF
ENGL219,4,https://chat.whatsapp.com/EMkTQ2jgc3A61kEudGHbTe
ENGL219,3,https://chat.whatsapp.com/G73kymzU1laHFVetxaPTQ0
Fren141,1,https://chat.whatsapp.com/LurWG2VkIRE7NuQwv7R6S5
FREN141,3,https://chat.whatsapp.com/F6eoCl1duaB3O7WYr4v8yD
FREN141,8,https://chat.whatsapp.com/Fa6nxwMmdi6FQUSZAnhO2x
FREN141,10,https://chat.whatsapp.com/JBtEzyN5XcGD1mLBDJEx0i
HRLC107,1,https://chat.whatsapp.com/J0HJZunRDycL3A6WmMA91l
ITCE 436-445 |ITNE490,1,https://chat.whatsapp.com/J0HJZunRDycL3A6WmMA91l
ITCE101,2,https://chat.whatsapp.com/H2TC5uh9Qzu2Nk6QjugdCU
ITCE101,1,https://chat.whatsapp.com/Ja1XpSwGmRYKbiihFsUwOZ
ITCE112/250,1,https://chat.whatsapp.com/IxnwAvJzYQ0Df9qkvUMoL0
ITCE112/250,2,https://chat.whatsapp.com/HGGzTzIbO0AAWsjaxV5om7
ITCE112/250,3,https://chat.whatsapp.com/Bqr5hngyyg24yrXKVwsxHX
ITCE112/250,4,https://chat.whatsapp.com/GgRbqLrdBBEFZ6ZBv6Yn7q
ITCE112/250,5,https://chat.whatsapp.com/CDMReIZnuPfIq0Pi3A0vJa
ITCE112/250,6,https://chat.whatsapp.com/B8yH0CGLTJiD7iFEwTfm68
ITCE112/250,4,https://chat.whatsapp.com/GgRbqLrdBBEFZ6ZBv6Yn7q
ITCE112/250,ALL SECTION,https://chat.whatsapp.com/L5tKLOIMeOE68jwEn4rJIa
ITCE211/251,1,https://chat.whatsapp.com/C1aszCDor7J2BkoM1ewSJx
ITCE221/260,1,https://chat.whatsapp.com/C2dwWZK09cg2JS3jlyYyEb
ITCE222,1,https://chat.whatsapp.com/JBkOPawEDOX9xWKsA0fi6z
ITCE230/341,1,https://chat.whatsapp.com/Ibr3DvgZb3OF0GgY5SyO8D
ITCE252/314,1,https://chat.whatsapp.com/K11HvbV2hphBJHQvC8brGz
ITCE252/314,2,https://chat.whatsapp.com/JEamNZKU1K3Fz2mXqmNDRJ
ITCE252/314,3,https://chat.whatsapp.com/JwS7OHhfFTKFZpVPOoWDQq
ITCE300,1,https://chat.whatsapp.com/ISPc4y1fBoSLI5WeyEXTWG
ITCE320,1,https://chat.whatsapp.com/GdlbML1RJsYFyHc6B8RKDo
ITCE340/272,1,https://chat.whatsapp.com/LtHq4X9r2516CVQ8GUr28H
ITCE353,1,https://chat.whatsapp.com/GnK3uBcRRea0Ro5FX3oLMd
ITCE362-364,1,https://chat.whatsapp.com/Ls6F3kpCOEx69dAPaG6lBb
ITCE380,1,https://chat.whatsapp.com/F1vkiw8UTBmCxdlwYZVB3k
ITCE416,1,https://chat.whatsapp.com/C2dwWZK09cg2JS3jlyYyEb
ITCE416,1,https://chat.whatsapp.com/LeDFiqxx4D80vChLhwMZGc
ITCE416,2,https://chat.whatsapp.com/KQ4kjasuz1w841IE89gMYO
ITCE419-ITCE454,1,https://chat.whatsapp.com/FbprlcRT9n0CcCi8rGIUy5
ITCE444,1,https://chat.whatsapp.com/EALNhFupOQPGvfdbBp3HEr
ITCE470,1,https://chat.whatsapp.com/J3N8mvQ7mJJEcvTeQfZTk6
ITCE471,1,https://chat.whatsapp.com/GIlrNmKm8ABHruti1A2elX
ITCE497-ITNE402,1,https://chat.whatsapp.com/Ls6F3kpCOEx69dAPaG6lBb
ITCS,3,https://chat.whatsapp.com/JaqAgmErE0DAdReJ78RPRs
ITCS 113-111,1,https://chat.whatsapp.com/BgTEtoMcn3R2NnZSxQPSum
ITCS 113-111,ALL SECTION 2,https://chat.whatsapp.com/IbGbw6mNqAu8KsRnoeKbkg
ITCS 113-112,2,https://chat.whatsapp.com/FvDznN52SNC3Nyv6gXrjTt 
ITCS 113-113,3,https://chat.whatsapp.com/BaPmXyUwmZhJVQj2QPalXg
ITCS 113-114,4,https://chat.whatsapp.com/DxbVB0nHkUYDkJACipSOoi
ITCS 113-115,5,https://chat.whatsapp.com/IGAkWeqOgUFGf6bvLwS7fv
ITCS 113-116,6,https://chat.whatsapp.com/D7YUgSXgX1q9bYedq5XRct
ITCS 113-117,7,https://chat.whatsapp.com/Dx3jSormGOQ2w5BkdvNCE7
ITCS 113-118,8,https://chat.whatsapp.com/CcD0Ah9Ktzm3Wz7sCOYHoz
ITCS 113-119,9,https://chat.whatsapp.com/DpCUgaOFjycH8oXao8MQ8B
ITCS 113-120,10,https://chat.whatsapp.com/DoOtUlSzvF2K14YsnAbwUL
ITCS 113-121,11,https://chat.whatsapp.com/LnZA8R9QdxlE8aMCqSVKNv
ITCS 113-122,12,https://chat.whatsapp.com/Jluj7wryuGZ9QjkmwXd8tk
ITCS 113-123,13,https://chat.whatsapp.com/FoIoleDU96nDtR9fXlMTLM
ITCS 113-124,14,https://chat.whatsapp.com/Jz0sZ1jIz8E5LZPl895KhL
ITCS 113-125,15,https://chat.whatsapp.com/Idt2m6zb0a5FBUmOo7Ebgm
ITCS 113-126,16,https://chat.whatsapp.com/GmP3JZtn8xv5kEm7HeuaM1
ITCS 113-127,17,https://chat.whatsapp.com/EoHcAArSuE13S3r97T9CaL
ITCS 113-128,18,https://chat.whatsapp.com/J1s8OSvCO9BHqQ3adaGIaY
ITCS 113-129,19,https://chat.whatsapp.com/L4Amw9vFt2L4VQN7o2zRGD
ITCS 113-130,20,https://chat.whatsapp.com/FgWzRQ6lBJjBHx1rMJnPae
ITCS 113-131,21,https://chat.whatsapp.com/Ck4soxnLSTr6dLk2nRVdsG
ITCS 113-132,22,https://chat.whatsapp.com/CYuga3vhCDiE66Z57G549o
ITCS 113-133,23,https://chat.whatsapp.com/BgTEtoMcn3R2NnZSxQPSum
ITCS 113-134,24,https://chat.whatsapp.com/FiS9ndhMLP1CWnlCmJBNSe
